2022-11-18 09:55:31,450 INFO    Thread-2878:5682 [wandb_setup.py:_flush():68] Configure stats pid to 5682
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project_v2', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': 'xewivbsx', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-jp6ffgsr/config-xewivbsx.yaml', 'sweep_id': 'jp6ffgsr'}
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221118_095531-xewivbsx/logs/debug.log
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221118_095531-xewivbsx/logs/debug-internal.log
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_init.py:init():516] calling init triggers
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 32, 'dropout': 0.3904151216922881, 'epochs': 66, 'learning_rate': 0.09477430098425982, 'size_1': 232, 'size_2': 150, 'size_3': 96, 'size_4': 143, 'size_5': 255}
config: {}
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_init.py:init():569] starting backend
2022-11-18 09:55:31,451 INFO    Thread-2878:5682 [wandb_init.py:init():573] setting up manager
2022-11-18 09:55:31,455 INFO    Thread-2878:5682 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-18 09:55:31,457 INFO    Thread-2878:5682 [wandb_init.py:init():580] backend started and connected
2022-11-18 09:55:31,466 INFO    Thread-2878:5682 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 32, 'dropout': 0.3904151216922881, 'epochs': 66, 'learning_rate': 0.09477430098425982, 'size_1': 232, 'size_2': 150, 'size_3': 96, 'size_4': 143, 'size_5': 255}
2022-11-18 09:55:31,468 INFO    Thread-2878:5682 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-18 09:55:31,468 INFO    Thread-2878:5682 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-18 09:55:31,468 INFO    Thread-2878:5682 [wandb_init.py:init():658] updated telemetry
2022-11-18 09:55:31,634 INFO    Thread-2878:5682 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-18 09:55:31,921 INFO    Thread-2878:5682 [wandb_run.py:_on_init():2000] communicating current version
2022-11-18 09:55:31,945 INFO    Thread-2878:5682 [wandb_run.py:_on_init():2004] got version response 
2022-11-18 09:55:31,945 INFO    Thread-2878:5682 [wandb_init.py:init():728] starting run threads in backend
2022-11-18 09:55:35,553 INFO    Thread-2878:5682 [wandb_run.py:_console_start():1980] atexit reg
2022-11-18 09:55:35,554 INFO    Thread-2878:5682 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-18 09:55:35,554 INFO    Thread-2878:5682 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-18 09:55:35,554 INFO    Thread-2878:5682 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-18 09:55:35,554 INFO    Thread-2878:5682 [wandb_init.py:init():765] run started, returning control to user process
2022-11-18 10:01:45,380 INFO    Thread-2878:5682 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project_v2/xewivbsx
2022-11-18 10:01:45,380 INFO    Thread-2878:5682 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-18 10:01:45,380 INFO    Thread-2878:5682 [wandb_run.py:_restore():1932] restore
2022-11-18 10:01:45,381 INFO    Thread-2878:5682 [wandb_run.py:_restore():1938] restore done
2022-11-18 10:01:49,237 INFO    Thread-2878:5682 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-18 10:01:49,238 INFO    Thread-2878:5682 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-18 10:01:49,240 INFO    Thread-2878:5682 [wandb_run.py:_footer_sync_info():3333] logging synced files
