2022-11-17 01:10:02,241 INFO    Thread-1575:143091 [wandb_setup.py:_flush():68] Configure stats pid to 143091
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': '0blof0ke', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-wl0oejnj/config-0blof0ke.yaml', 'sweep_id': 'wl0oejnj'}
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221117_011002-0blof0ke/logs/debug.log
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221117_011002-0blof0ke/logs/debug-internal.log
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_init.py:init():516] calling init triggers
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 128, 'dropout': 0.118381248201942, 'epochs': 81, 'learning_rate': 0.0050481705620421535, 'size_1': 84, 'size_2': 200, 'size_3': 120, 'size_4': 126, 'size_5': 181}
config: {}
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_init.py:init():569] starting backend
2022-11-17 01:10:02,242 INFO    Thread-1575:143091 [wandb_init.py:init():573] setting up manager
2022-11-17 01:10:02,245 INFO    Thread-1575:143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-17 01:10:02,247 INFO    Thread-1575:143091 [wandb_init.py:init():580] backend started and connected
2022-11-17 01:10:02,257 INFO    Thread-1575:143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 128, 'dropout': 0.118381248201942, 'epochs': 81, 'learning_rate': 0.0050481705620421535, 'size_1': 84, 'size_2': 200, 'size_3': 120, 'size_4': 126, 'size_5': 181}
2022-11-17 01:10:02,259 INFO    Thread-1575:143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-17 01:10:02,259 INFO    Thread-1575:143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-17 01:10:02,259 INFO    Thread-1575:143091 [wandb_init.py:init():658] updated telemetry
2022-11-17 01:10:02,382 INFO    Thread-1575:143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-17 01:10:02,672 INFO    Thread-1575:143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-17 01:10:02,701 INFO    Thread-1575:143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-17 01:10:02,701 INFO    Thread-1575:143091 [wandb_init.py:init():728] starting run threads in backend
2022-11-17 01:10:05,830 INFO    Thread-1575:143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-17 01:10:05,830 INFO    Thread-1575:143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-17 01:10:05,830 INFO    Thread-1575:143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-17 01:10:05,830 INFO    Thread-1575:143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-17 01:10:05,830 INFO    Thread-1575:143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-17 01:12:57,332 INFO    Thread-1575:143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/0blof0ke
2022-11-17 01:12:57,332 INFO    Thread-1575:143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-17 01:12:57,332 INFO    Thread-1575:143091 [wandb_run.py:_restore():1932] restore
2022-11-17 01:12:57,332 INFO    Thread-1575:143091 [wandb_run.py:_restore():1938] restore done
2022-11-17 01:13:01,976 INFO    Thread-1575:143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-17 01:13:01,976 INFO    Thread-1575:143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-17 01:13:01,979 INFO    Thread-1575:143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
