2022-11-18 07:25:02,158 INFO    Thread-1305:5682 [wandb_setup.py:_flush():68] Configure stats pid to 5682
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project_v2', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': 'ri8bz0rm', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-jp6ffgsr/config-ri8bz0rm.yaml', 'sweep_id': 'jp6ffgsr'}
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221118_072502-ri8bz0rm/logs/debug.log
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221118_072502-ri8bz0rm/logs/debug-internal.log
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_init.py:init():516] calling init triggers
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 128, 'dropout': 0.15468454318581695, 'epochs': 36, 'learning_rate': 0.04808049264444447, 'size_1': 157, 'size_2': 163, 'size_3': 72, 'size_4': 204, 'size_5': 209}
config: {}
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_init.py:init():569] starting backend
2022-11-18 07:25:02,159 INFO    Thread-1305:5682 [wandb_init.py:init():573] setting up manager
2022-11-18 07:25:02,163 INFO    Thread-1305:5682 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-18 07:25:02,164 INFO    Thread-1305:5682 [wandb_init.py:init():580] backend started and connected
2022-11-18 07:25:02,171 INFO    Thread-1305:5682 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 128, 'dropout': 0.15468454318581695, 'epochs': 36, 'learning_rate': 0.04808049264444447, 'size_1': 157, 'size_2': 163, 'size_3': 72, 'size_4': 204, 'size_5': 209}
2022-11-18 07:25:02,172 INFO    Thread-1305:5682 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-18 07:25:02,172 INFO    Thread-1305:5682 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-18 07:25:02,172 INFO    Thread-1305:5682 [wandb_init.py:init():658] updated telemetry
2022-11-18 07:25:02,267 INFO    Thread-1305:5682 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-18 07:25:02,611 INFO    Thread-1305:5682 [wandb_run.py:_on_init():2000] communicating current version
2022-11-18 07:25:02,642 INFO    Thread-1305:5682 [wandb_run.py:_on_init():2004] got version response 
2022-11-18 07:25:02,642 INFO    Thread-1305:5682 [wandb_init.py:init():728] starting run threads in backend
2022-11-18 07:25:06,322 INFO    Thread-1305:5682 [wandb_run.py:_console_start():1980] atexit reg
2022-11-18 07:25:06,322 INFO    Thread-1305:5682 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-18 07:25:06,322 INFO    Thread-1305:5682 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-18 07:25:06,322 INFO    Thread-1305:5682 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-18 07:25:06,322 INFO    Thread-1305:5682 [wandb_init.py:init():765] run started, returning control to user process
2022-11-18 07:26:29,654 INFO    Thread-1305:5682 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project_v2/ri8bz0rm
2022-11-18 07:26:29,654 INFO    Thread-1305:5682 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-18 07:26:29,655 INFO    Thread-1305:5682 [wandb_run.py:_restore():1932] restore
2022-11-18 07:26:29,655 INFO    Thread-1305:5682 [wandb_run.py:_restore():1938] restore done
2022-11-18 07:26:33,852 INFO    Thread-1305:5682 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-18 07:26:33,852 INFO    Thread-1305:5682 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-18 07:26:33,855 INFO    Thread-1305:5682 [wandb_run.py:_footer_sync_info():3333] logging synced files
