2022-11-17 02:40:10,311 INFO    Thread-2624:143091 [wandb_setup.py:_flush():68] Configure stats pid to 143091
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': 'qb00tbov', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-wl0oejnj/config-qb00tbov.yaml', 'sweep_id': 'wl0oejnj'}
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221117_024010-qb00tbov/logs/debug.log
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221117_024010-qb00tbov/logs/debug-internal.log
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_init.py:init():516] calling init triggers
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 128, 'dropout': 0.5451758258538926, 'epochs': 36, 'learning_rate': 0.03166852685138684, 'size_1': 231, 'size_2': 159, 'size_3': 239, 'size_4': 163, 'size_5': 105}
config: {}
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_init.py:init():569] starting backend
2022-11-17 02:40:10,312 INFO    Thread-2624:143091 [wandb_init.py:init():573] setting up manager
2022-11-17 02:40:10,316 INFO    Thread-2624:143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-17 02:40:10,318 INFO    Thread-2624:143091 [wandb_init.py:init():580] backend started and connected
2022-11-17 02:40:10,328 INFO    Thread-2624:143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 128, 'dropout': 0.5451758258538926, 'epochs': 36, 'learning_rate': 0.03166852685138684, 'size_1': 231, 'size_2': 159, 'size_3': 239, 'size_4': 163, 'size_5': 105}
2022-11-17 02:40:10,330 INFO    Thread-2624:143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-17 02:40:10,330 INFO    Thread-2624:143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-17 02:40:10,330 INFO    Thread-2624:143091 [wandb_init.py:init():658] updated telemetry
2022-11-17 02:40:10,501 INFO    Thread-2624:143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-17 02:40:10,951 INFO    Thread-2624:143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-17 02:40:10,979 INFO    Thread-2624:143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-17 02:40:10,979 INFO    Thread-2624:143091 [wandb_init.py:init():728] starting run threads in backend
2022-11-17 02:40:14,288 INFO    Thread-2624:143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-17 02:40:14,288 INFO    Thread-2624:143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-17 02:40:14,289 INFO    Thread-2624:143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-17 02:40:14,289 INFO    Thread-2624:143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-17 02:40:14,289 INFO    Thread-2624:143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-17 02:41:50,508 INFO    Thread-2624:143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/qb00tbov
2022-11-17 02:41:50,508 INFO    Thread-2624:143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-17 02:41:50,509 INFO    Thread-2624:143091 [wandb_run.py:_restore():1932] restore
2022-11-17 02:41:50,509 INFO    Thread-2624:143091 [wandb_run.py:_restore():1938] restore done
2022-11-17 02:41:56,249 INFO    Thread-2624:143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-17 02:41:56,249 INFO    Thread-2624:143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-17 02:41:56,251 INFO    Thread-2624:143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
